g,season,opp,w/l,tm,opp_score,fg,fga,fg_percentage,three_points,three_point_attempts,three_point_percentage,ft,fta,free_throw_percentage,orb,trb,ast,stl,blk,tov,pf,drb,two_point_percentage,id
42,2020-21,ORL,W,112,96,40,88,0.455,23,55,0.418,9,9,1.0,7,45,27,6,3,9,21,38,0.515,195
41,2020-21,SAC,L,96,107,39,91,0.429,12,31,0.387,6,7,0.857,12,45,22,8,4,14,20,33,0.45,196
40,2020-21,CLE,L,110,117,40,88,0.455,10,38,0.263,20,29,0.69,15,40,19,10,9,12,27,25,0.6,197
39,2020-21,UTA,L,109,117,48,98,0.49,10,29,0.345,3,4,0.75,16,45,28,8,5,13,18,29,0.551,198
38,2020-21,HOU,W,134,107,51,92,0.554,18,37,0.486,14,21,0.667,10,55,29,8,3,14,22,45,0.6,199
37,2020-21,BRK,L,109,121,41,91,0.451,13,40,0.325,14,22,0.636,11,39,22,10,10,11,13,28,0.549,200
36,2020-21,TOR,W,132,125,45,74,0.608,13,29,0.448,29,40,0.725,9,39,25,6,7,16,20,30,0.711,201
35,2020-21,LAC,W,117,112,42,86,0.488,16,32,0.5,17,23,0.739,14,43,25,6,4,8,12,29,0.481,202
34,2020-21,WAS,W,111,110,42,89,0.472,10,30,0.333,17,24,0.708,13,49,25,7,0,18,25,36,0.542,203
33,2020-21,IND,W,118,112,42,82,0.512,9,22,0.409,25,29,0.862,7,45,24,3,6,11,20,38,0.55,204
32,2020-21,ATL,L,112,127,42,95,0.442,8,31,0.258,20,23,0.87,12,36,20,10,6,6,16,24,0.531,205
31,2020-21,DAL,L,107,110,41,86,0.477,12,39,0.308,13,18,0.722,12,46,19,6,6,13,21,34,0.617,206
30,2020-21,NOP,L,115,120,39,98,0.398,10,37,0.27,27,34,0.794,11,49,22,9,11,10,30,38,0.475,207
29,2020-21,ATL,W,121,109,50,90,0.556,14,35,0.4,7,10,0.7,9,44,26,8,12,18,21,35,0.655,208
28,2020-21,ATL,L,114,122,40,86,0.465,10,31,0.323,24,27,0.889,11,37,22,9,3,16,27,26,0.545,209
27,2020-21,DEN,W,112,99,39,81,0.481,15,42,0.357,19,21,0.905,10,43,26,7,1,20,22,33,0.615,210
26,2020-21,WAS,L,91,104,32,90,0.356,9,35,0.257,18,30,0.6,14,50,14,5,2,17,27,36,0.418,211
25,2020-21,DET,L,102,108,36,82,0.439,8,27,0.296,22,30,0.733,7,44,15,9,2,10,25,37,0.509,212
24,2020-21,TOR,W,120,106,39,86,0.453,20,39,0.513,22,28,0.786,14,49,30,8,6,18,22,35,0.404,213
23,2020-21,UTA,L,108,122,38,86,0.442,13,29,0.448,19,23,0.826,11,35,18,2,2,8,25,24,0.439,214
22,2020-21,PHO,L,91,100,33,93,0.355,17,44,0.386,8,12,0.667,13,41,19,6,2,5,11,28,0.327,215
21,2020-21,LAC,W,119,115,43,90,0.478,16,38,0.421,17,21,0.81,9,34,21,8,1,6,16,25,0.519,216
